PRODUCT,sanded,5pc,solidwood,cnc,specialty,boxes
"Plywood Top - Edgebanded - 1 1/2"" Thick",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Acetone,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Acid Catalyst,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amarium Clear Lacquer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amarium Clear Sealer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amarium Pigmented Lacquer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Amarium Pigmented Sealer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Arched Valance,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Arched Valance - 1 Inch,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Arched Valance - Horizontal Grain - Slab,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
Arched Valance - MDF Core Panel,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Breadboard: Maple Center,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Breadboard: Maple Center,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Butcher Block,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Butyl Acetate,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChromaCat 680,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ChromaCat Opaque Sealer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ClearBuild 680 Hi-Build,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CNW  Drawer Box - Dovetail - Rollout,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CNW Drawer Box - Dovetail,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
ColorTools II Wiping Stain,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ColorTools Oil Base Glaze,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Conversion Varnish Catalyst,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Conversion Varnish Touch up,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Crown Molding,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CrystalVar 550,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CrystalVar 680,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CrystalVar 680 Sealer,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Custom Color Match,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
