Order #,Company #,Company Name,Order Name,Total,Number of Pieces,Ordered Date,Ship Date,Status,Product #,Product Name,Qty,Line Subtotal
81993,202,Funke's Custom Cabinets,FOB Charge for 9/21&9/26 H&H,428.1,2,2022-09-29,2022-09-29,shipped,629,FOB Drop Charge,2,428.1
74889,346,Mission Valley Finish and Woodworking,  Dan Ludke Bogus (74820) eoxy sticks,39.93,3,2022-03-01,2022-03-07,shipped,6139,"Epoxy Stick, Mohawk-Black",3,39.93
75424,117,Joshua Tree Cabinetry,epoxy sticks for Burgard (75136),27.94,2,2022-03-14,2022-03-29,shipped,6139,"Epoxy Stick, Mohawk-Black",2,27.94
75663,500,Chiliwist Creek Woodworks,epoxy sticks,83.82,6,2022-03-17,2022-04-04,shipped,6139,"Epoxy Stick, Mohawk-Black",6,83.82
76814,770,Outlaw Woodworks LLC,X-Pert System,15070,1,2022-04-15,2022-05-28,shipped,6855,X-Pert Mixing System,1,15070
77720,558,Martin Wood Products,epoxy sticks,330,30,2022-05-10,2022-05-10,shipped,6138,"Epoxy Stick, Mohawk-Raw Umber",10,110
77720,558,Martin Wood Products,epoxy sticks,330,30,2022-05-10,2022-05-10,shipped,6139,"Epoxy Stick, Mohawk-Black",10,110
77720,558,Martin Wood Products,epoxy sticks,330,30,2022-05-10,2022-05-10,shipped,6141,"Epoxy Stick, Mohawk-Natural Maple",10,110
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6630,OptiColor XP 4191 BLACK 1gal,1,120.5
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6631,OptiColor XP 4185 BURNT UMBER 1gal,1,149.8
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6632,OptiColor XP 4183 RAW UMBER 1qt,1,42.49
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6633,OptiColor XP 4166 L.F.ORANGE 1qt,1,57.65
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6634,OptiColor XP 4121 PHTHALO GREEN 1qt,1,42.49
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6635,OptiColor XP 4132 PHTHALO BLUE 1qt,1,50.03
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6636,OptiColor XP 4139 QUIN VIOLET 1qt,1,101.01
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6637,OptiColor XP 4144 RED OXIDE 1qt,1,48.06
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6638,OptiColor XP 4148 QUINDO RED 1qt,1,124.02
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6639,NAPTHOL RED 4142 UXR0036 CN1QT,1,81.05
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6640,OptiColor XP 4100 WHITE 1gal,1,165.09
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6641,OptiColor XP 4110 ORGANIC YELLOW 1qt,1,100.34
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6642,OptiColor XP 4112 MEDIUM YELLOW 1qt,1,52.64
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6645,VAN DYKE BRN 785 EXACTINT VCS0512 CN1QT,1,18.3
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6646,OptiColor XP 4150 Trans RED OXIDE *** 1qt,1,48.4
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6647,OptiColor XP 4176 Trans YELLOW OXIDE *** 1qt,1,50.03
79082,770,Outlaw Woodworks LLC,Colorant Order,1359.58,17,2022-06-17,2022-06-20,shipped,6864,OptiColor XP 4177 YELLOW OX 1ga,1,107.68
81208,558,Martin Wood Products,epoxy  sticks,110,10,2022-08-31,2022-09-01,shipped,6139,"Epoxy Stick, Mohawk-Black",10,110
82661,770,Outlaw Woodworks LLC,Colorant,52.64,1,2022-10-19,2022-10-31,shipped,6642,OptiColor XP 4112 MEDIUM YELLOW 1qt,1,52.64
82663,558,Martin Wood Products,shop ,66,6,2022-10-19,2022-10-19,shipped,6141,"Epoxy Stick, Mohawk-Natural Maple",6,66
82876,558,Martin Wood Products,epoxy order,55,5,2022-10-26,2022-10-28,shipped,6141,"Epoxy Stick, Mohawk-Natural Maple",5,55
