"Method","Company #","Company","Address","Order #","Name","#","Last","Ship Date","Invoice Amount","Status"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","78113"," FIN-SN4 (66292) redo- installer damaged","2","DOORS-Loaded in Truck 05/31/2022 01:48 PM","Jun 01,2022","346.10","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","78084","Remake of FIN-NWC66-M (75401) PARTS (75585)","1","DOORS-Loaded in Truck 05/31/2022 01:48 PM","Jun 01,2022","0.00","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","77496","KR3 (69548) molding","2","SPECIALTY-On Pallet 05/31/2022 02:06 PM","Jun 01,2022","66.01","Payment Needed"
"Coast truck","845","NW Cabinetry","5149 S 303rd Pl, Auburn, WA 98001","78171","NWC88-add (75734)","4","DOORS-Loaded in Truck 06/07/2022 02:46 PM","Jun 08,2022","133.88","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","58404","FIN-IR9 routed ","15","SPECIALTY-Loaded on Truck 06/15/2022 01:05 PM","Jun 15,2022","984.92","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","77785","  FIN-LR33 (74976) PARTS (75421) replacements","2","SPECIALTY-Loaded on Truck 06/15/2022 01:05 PM","Jun 15,2022","238.36","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","74367","FIN-NWC72 #1","11","SPECIALTY-Loaded on Truck 06/15/2022 01:05 PM","Jun 15,2022","939.38","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","77748","FIN-NWC72 (74367) #2 PARTS","21","SPECIALTY-Loaded on Truck 06/15/2022 01:05 PM","Jun 15,2022","2,362.57","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","77749","FIN-NWC72 (74367) #1 PARTS","4","SPECIALTY-Loaded on Truck 06/15/2022 01:05 PM","Jun 15,2022","586.38","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","77750","FIN- NWC72 (74367) #2","33","SPECIALTY-Loaded on Truck 06/15/2022 01:05 PM","Jun 15,2022","3,447.18","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","79253","Remake of FIN-NWC47-1 PARTS (72723) (73388)","2","SPECIALTY-On Pallet 07/07/2022 09:18 AM","Jul 06,2022","0.00","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","78541","FIN-NWC72 addition #1 (74367)","11","DOORS-On Pallet 07/07/2022 10:11 AM","Jul 13,2022","1,098.71","Payment Needed"
"Coast truck","845","NW Cabinetry","8470 30th AVE NE Unit A, Lacey, WA 98516","79494"," add to FIN-NWC47-4 PARTS (73044) (73402)","1","none","Jul 13,2022","140.00","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77254","Evanson doors ","21","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","885.37","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77345","fin-Evanson (77254) drawers","5","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","354.82","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77489","Sterling Supply doors ","10","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","283.40","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77499","fin-Sterling Supply  (77489) drawers ","9","BOXES-Loaded in Truck 05/31/2022 01:50 PM","Jun 01,2022","617.18","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77335","TCC Office W Oak Door ","1","DOORS-On Pallet 05/26/2022 02:09 PM","Jun 01,2022","52.95","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77357","TCC Office (77335) QS W Oak","1","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","42.29","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77358","TCC Office (77335) ash door","1","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","39.63","Payment Needed"
"Coast truck","403","The Cabinet Company","38830 Sterling Hwy, Soldotna, AK 99669","77333","Reinford doors ","14","DOORS-Loaded in Truck 05/31/2022 01:49 PM","Jun 01,2022","321.93","Payment Needed"
